city,timestamp,aqi,pm25,pm10,no2,so2,o3,co,temp,humidity,wind_speed,hour,day,month,day_of_week,is_weekend,pollutant_sum,temp_humidity_index,wind_temp_ratio,aqi_change_rate,target_aqi
Karachi,2025-01-01 00:00:00+00:00,5,274.78,381.43,111.04,43.87,0.07,4592.9,0.0,0,0.0,0,1,1,2,False,5404.09,0.0,0.0,0.0,5.0
Karachi,2025-01-03 15:00:00+00:00,5,221.1,278.78,50.72,45.78,214.58,1922.61,0.0,0,0.0,15,3,1,4,False,2733.5699999999997,0.0,0.0,0.0,5.0
Karachi,2025-01-02 07:00:00+00:00,5,171.36,228.2,39.76,22.89,65.8,1762.39,0.0,0,0.0,7,2,1,3,False,2290.4,0.0,0.0,0.0,5.0
Karachi,2025-01-04 12:00:00+00:00,3,37.51,66.66,15.42,20.74,91.55,694.27,0.0,0,0.0,12,4,1,5,True,926.15,0.0,0.0,-2.0,3.0
Karachi,2025-01-02 11:00:00+00:00,5,275.44,369.52,108.3,49.11,42.56,4219.06,0.0,0,0.0,11,2,1,3,False,5063.990000000001,0.0,0.0,0.0,5.0
Karachi,2025-01-01 07:00:00+00:00,5,128.43,174.78,33.59,22.65,72.96,1482.01,0.0,0,0.0,7,1,1,2,False,1914.42,0.0,0.0,0.0,5.0
Karachi,2025-01-01 21:00:00+00:00,5,219.42,331.2,127.49,53.41,17.34,3845.21,0.0,0,0.0,21,1,1,2,False,4594.07,0.0,0.0,0.0,5.0
Karachi,2025-01-02 01:00:00+00:00,5,159.49,240.54,44.55,25.03,64.37,1842.5,0.0,0,0.0,1,2,1,3,False,2376.48,0.0,0.0,0.0,5.0
Karachi,2025-01-01 17:00:00+00:00,5,120.93,198.26,65.8,85.83,120.16,1682.28,0.0,0,0.0,17,1,1,2,False,2273.26,0.0,0.0,0.0,5.0
Karachi,2025-01-04 15:00:00+00:00,3,17.22,32.04,7.54,10.49,123.02,423.91,0.0,0,0.0,15,4,1,5,True,614.22,0.0,0.0,0.0,3.0
Karachi,2025-01-03 01:00:00+00:00,5,518.26,640.77,175.48,41.96,0.0,8224.49,0.0,0,0.0,1,3,1,4,False,9600.96,0.0,0.0,0.0,5.0
Karachi,2025-01-02 18:00:00+00:00,5,418.72,544.56,260.47,79.15,2.7,6301.88,0.0,0,0.0,18,2,1,3,False,7607.4800000000005,0.0,0.0,0.0,5.0
Karachi,2025-01-03 12:00:00+00:00,5,215.92,287.33,78.14,51.02,124.45,2643.59,0.0,0,0.0,12,3,1,4,False,3400.4500000000003,0.0,0.0,0.0,5.0
Karachi,2025-01-04 05:00:00+00:00,3,37.82,53.38,11.82,5.54,95.84,620.84,0.0,0,0.0,5,4,1,5,True,825.24,0.0,0.0,-1.0,3.0
Karachi,2025-01-02 21:00:00+00:00,5,578.6,687.81,276.92,61.99,0.03,8651.73,0.0,0,0.0,21,2,1,3,False,10257.08,0.0,0.0,0.0,5.0
Karachi,2025-01-03 22:00:00+00:00,5,164.64,208.87,39.41,16.93,120.16,1508.71,0.0,0,0.0,22,3,1,4,False,2058.7200000000003,0.0,0.0,0.0,5.0
Karachi,2025-01-02 00:00:00+00:00,5,182.52,278.93,56.21,30.52,53.64,2323.15,0.0,0,0.0,0,2,1,3,False,2924.9700000000003,0.0,0.0,0.0,5.0
Karachi,2025-01-03 11:00:00+00:00,5,505.13,646.24,189.19,59.6,32.9,8010.86,0.0,0,0.0,11,3,1,4,False,9443.92,0.0,0.0,0.0,5.0
Karachi,2025-01-04 18:00:00+00:00,3,11.74,21.61,18.34,10.49,101.57,560.76,0.0,0,0.0,18,4,1,5,True,724.51,0.0,0.0,0.0,2.0
Karachi,2025-01-03 08:00:00+00:00,5,317.14,414.02,108.3,34.81,16.09,3952.03,0.0,0,0.0,8,3,1,4,False,4842.39,0.0,0.0,0.0,5.0
Karachi,2025-01-01 03:00:00+00:00,5,130.58,190.21,34.27,20.03,59.37,1602.17,0.0,0,0.0,3,1,1,2,False,2036.63,0.0,0.0,0.0,5.0
Karachi,2025-01-04 22:00:00+00:00,3,39.21,59.26,34.62,9.78,65.8,1081.47,0.0,0,0.0,22,4,1,5,True,1290.14,0.0,0.0,0.0,3.0
Karachi,2025-01-03 05:00:00+00:00,5,219.11,313.66,42.16,22.89,49.35,2109.53,0.0,0,0.0,5,3,1,4,False,2756.7000000000003,0.0,0.0,0.0,5.0
Karachi,2025-01-04 09:00:00+00:00,5,101.25,137.14,56.21,18.36,44.7,1815.8,0.0,0,0.0,9,4,1,5,True,2173.46,0.0,0.0,1.0,5.0
Karachi,2025-01-01 11:00:00+00:00,5,184.2,267.1,70.6,42.44,78.68,2696.99,0.0,0,0.0,11,1,1,2,False,3340.0099999999998,0.0,0.0,0.0,5.0
Karachi,2025-01-02 12:00:00+00:00,5,233.85,322.35,84.31,55.31,90.12,2990.72,0.0,0,0.0,12,2,1,3,False,3776.66,0.0,0.0,0.0,5.0
Karachi,2025-01-02 15:00:00+00:00,5,253.92,348.93,109.67,83.92,115.87,3150.94,0.0,0,0.0,15,2,1,3,False,4063.25,0.0,0.0,0.0,5.0
Karachi,2025-01-04 02:00:00+00:00,5,125.0,156.83,31.87,9.66,97.27,1308.44,0.0,0,0.0,2,4,1,5,True,1729.0700000000002,0.0,0.0,0.0,5.0
Karachi,2025-01-02 22:00:00+00:00,5,707.94,829.21,290.63,64.85,0.0,11001.59,0.0,0,0.0,22,2,1,3,False,12894.220000000001,0.0,0.0,0.0,5.0
Karachi,2025-01-03 19:00:00+00:00,5,119.7,152.15,23.65,13.59,155.93,961.3,0.0,0,0.0,19,3,1,4,False,1426.32,0.0,0.0,0.0,5.0
Karachi,2025-01-04 19:00:00+00:00,2,15.7,28.35,26.05,8.94,82.97,700.95,0.0,0,0.0,19,4,1,5,True,862.96,0.0,0.0,-1.0,2.0
Karachi,2025-01-03 09:00:00+00:00,5,397.58,510.29,138.46,44.82,6.71,5928.04,0.0,0,0.0,9,3,1,4,False,7025.9,0.0,0.0,0.0,5.0
Karachi,2025-01-01 04:00:00+00:00,5,124.79,177.9,27.08,19.31,69.38,1415.25,0.0,0,0.0,4,1,1,2,False,1833.71,0.0,0.0,0.0,5.0
Karachi,2025-01-01 18:00:00+00:00,5,133.4,215.62,94.59,87.74,82.25,2243.04,0.0,0,0.0,18,1,1,2,False,2856.64,0.0,0.0,0.0,5.0
Karachi,2025-01-03 23:00:00+00:00,5,176.99,223.61,43.87,16.93,107.29,1682.28,0.0,0,0.0,23,3,1,4,False,2250.9700000000003,0.0,0.0,0.0,5.0
Karachi,2025-01-02 08:00:00+00:00,5,218.3,284.69,81.57,29.8,34.33,2883.91,0.0,0,0.0,8,2,1,3,False,3532.6,0.0,0.0,0.0,5.0
Karachi,2025-01-04 13:00:00+00:00,3,26.39,48.78,9.77,15.5,110.15,520.71,0.0,0,0.0,13,4,1,5,True,731.3000000000001,0.0,0.0,0.0,3.0
Karachi,2025-01-01 22:00:00+00:00,5,216.98,331.08,97.33,42.92,28.97,3364.56,0.0,0,0.0,22,1,1,2,False,4081.84,0.0,0.0,0.0,5.0
Karachi,2025-01-03 02:00:00+00:00,5,332.48,445.66,122.01,30.99,0.03,4859.92,0.0,0,0.0,2,3,1,4,False,5791.09,0.0,0.0,0.0,5.0
Karachi,2025-01-02 04:00:00+00:00,5,154.01,211.54,24.68,20.03,81.54,1348.5,0.0,0,0.0,4,2,1,3,False,1840.3,0.0,0.0,0.0,5.0
Karachi,2025-01-01 08:00:00+00:00,5,158.69,214.13,61.69,29.09,54.36,2189.64,0.0,0,0.0,8,1,1,2,False,2707.6,0.0,0.0,0.0,5.0
Karachi,2025-01-01 14:00:00+00:00,5,135.98,213.3,41.13,68.66,150.2,1455.31,0.0,0,0.0,14,1,1,2,False,2064.58,0.0,0.0,0.0,5.0
Karachi,2025-01-04 06:00:00+00:00,3,30.48,47.55,10.97,6.5,92.98,547.41,0.0,0,0.0,6,4,1,5,True,735.89,0.0,0.0,0.0,3.0
Karachi,2025-01-04 10:00:00+00:00,5,109.24,151.08,51.41,22.89,46.49,1922.61,0.0,0,0.0,10,4,1,5,True,2303.72,0.0,0.0,0.0,5.0
Karachi,2025-01-02 05:00:00+00:00,5,158.2,214.34,24.68,20.27,79.39,1388.55,0.0,0,0.0,5,2,1,3,False,1885.4299999999998,0.0,0.0,0.0,5.0
Karachi,2025-01-04 14:00:00+00:00,3,22.89,41.9,8.48,12.64,120.16,473.98,0.0,0,0.0,14,4,1,5,True,680.05,0.0,0.0,0.0,3.0
Karachi,2025-01-03 06:00:00+00:00,5,227.36,317.72,42.16,23.37,54.36,2162.93,0.0,0,0.0,6,3,1,4,False,2827.8999999999996,0.0,0.0,0.0,5.0
Karachi,2025-01-02 16:00:00+00:00,5,330.27,442.06,178.22,85.83,70.1,4646.3,0.0,0,0.0,16,2,1,3,False,5752.78,0.0,0.0,0.0,5.0
Karachi,2025-01-01 12:00:00+00:00,5,163.51,242.92,53.47,47.21,115.87,2056.12,0.0,0,0.0,12,1,1,2,False,2679.1,0.0,0.0,0.0,5.0
Karachi,2025-01-03 20:00:00+00:00,5,117.6,149.55,18.16,12.4,154.5,894.55,0.0,0,0.0,20,3,1,4,False,1346.76,0.0,0.0,0.0,5.0
Karachi,2025-01-03 13:00:00+00:00,5,194.21,253.39,55.52,46.25,163.08,2002.72,0.0,0,0.0,13,3,1,4,False,2715.17,0.0,0.0,0.0,5.0
Karachi,2025-01-02 23:00:00+00:00,5,798.38,930.29,274.18,63.9,0.0,12390.14,0.0,0,0.0,23,2,1,3,False,14456.89,0.0,0.0,0.0,5.0
Karachi,2025-01-01 15:00:00+00:00,5,121.73,197.42,40.44,73.43,150.2,1295.09,0.0,0,0.0,15,1,1,2,False,1878.31,0.0,0.0,0.0,5.0
Karachi,2025-01-04 23:00:00+00:00,3,47.45,69.34,37.01,10.49,64.37,1214.98,0.0,0,0.0,23,4,1,5,True,1443.64,0.0,0.0,0.0,4.0
Karachi,2025-01-04 16:00:00+00:00,3,12.38,23.24,7.63,10.73,124.45,397.21,0.0,0,0.0,16,4,1,5,True,575.64,0.0,0.0,0.0,3.0
Karachi,2025-01-01 19:00:00+00:00,5,161.8,254.03,127.49,79.15,43.27,3097.53,0.0,0,0.0,19,1,1,2,False,3763.2700000000004,0.0,0.0,0.0,5.0
Karachi,2025-01-03 16:00:00+00:00,5,200.48,250.38,40.44,35.29,214.58,1588.82,0.0,0,0.0,16,3,1,4,False,2329.99,0.0,0.0,0.0,5.0
Karachi,2025-01-02 09:00:00+00:00,5,263.07,343.19,113.79,36.72,12.7,4165.65,0.0,0,0.0,9,2,1,3,False,4935.12,0.0,0.0,0.0,5.0
Karachi,2025-01-02 19:00:00+00:00,5,477.05,599.69,268.7,70.57,0.0,7476.81,0.0,0,0.0,19,2,1,3,False,8892.82,0.0,0.0,0.0,5.0
Karachi,2025-01-04 00:00:00+00:00,5,168.41,212.82,44.55,15.14,98.71,1642.23,0.0,0,0.0,0,4,1,5,True,2181.86,0.0,0.0,0.0,5.0
Karachi,2025-01-04 03:00:00+00:00,5,90.39,113.14,23.31,7.21,95.84,1094.82,0.0,0,0.0,3,4,1,5,True,1424.71,0.0,0.0,0.0,4.0
Karachi,2025-01-01 01:00:00+00:00,5,190.55,278.59,85.0,30.28,8.14,2964.02,0.0,0,0.0,1,1,1,2,False,3556.58,0.0,0.0,0.0,5.0
Karachi,2025-01-01 05:00:00+00:00,5,121.64,170.55,24.33,19.31,73.67,1321.79,0.0,0,0.0,5,1,1,2,False,1731.29,0.0,0.0,0.0,5.0
Karachi,2025-01-02 13:00:00+00:00,5,215.35,301.52,69.92,61.99,121.59,2456.67,0.0,0,0.0,13,2,1,3,False,3227.04,0.0,0.0,0.0,5.0
Karachi,2025-01-01 23:00:00+00:00,5,203.57,312.09,72.66,36.24,42.92,2830.51,0.0,0,0.0,23,1,1,2,False,3497.9900000000002,0.0,0.0,0.0,5.0
Karachi,2025-01-01 02:00:00+00:00,5,147.5,218.77,51.41,22.89,38.27,2056.12,0.0,0,0.0,2,1,1,2,False,2534.96,0.0,0.0,0.0,5.0
Karachi,2025-01-03 21:00:00+00:00,5,139.41,176.87,28.1,14.9,140.19,1174.93,0.0,0,0.0,21,3,1,4,False,1674.4,0.0,0.0,0.0,5.0
Karachi,2025-01-04 20:00:00+00:00,2,18.54,33.28,24.33,7.75,78.68,707.63,0.0,0,0.0,20,4,1,5,True,870.21,0.0,0.0,0.0,3.0
Karachi,2025-01-01 09:00:00+00:00,5,178.27,247.68,82.25,34.33,43.27,2777.1,0.0,0,0.0,9,1,1,2,False,3362.9,0.0,0.0,0.0,5.0
Karachi,2025-01-03 17:00:00+00:00,5,164.31,206.44,29.82,23.84,197.41,1241.68,0.0,0,0.0,17,3,1,4,False,1863.5,0.0,0.0,0.0,5.0
Karachi,2025-01-03 07:00:00+00:00,5,249.46,338.89,57.58,26.46,48.64,2563.48,0.0,0,0.0,7,3,1,4,False,3284.51,0.0,0.0,0.0,5.0
Karachi,2025-01-03 10:00:00+00:00,5,452.7,581.24,153.54,52.45,15.56,7370.0,0.0,0,0.0,10,3,1,4,False,8625.49,0.0,0.0,0.0,5.0
Karachi,2025-01-01 16:00:00+00:00,5,120.54,196.7,51.41,80.11,140.19,1455.31,0.0,0,0.0,16,1,1,2,False,2044.26,0.0,0.0,0.0,5.0
Karachi,2025-01-05 00:00:00+00:00,4,53.56,77.19,43.18,10.85,58.65,1361.85,0.0,0,0.0,0,5,1,6,True,1605.28,0.0,0.0,1.0,
Karachi,2025-01-02 20:00:00+00:00,5,520.49,633.88,268.7,61.99,0.02,7690.43,0.0,0,0.0,20,2,1,3,False,9175.51,0.0,0.0,0.0,5.0
Karachi,2025-01-04 07:00:00+00:00,3,36.54,56.86,17.48,8.82,82.97,714.3,0.0,0,0.0,7,4,1,5,True,916.97,0.0,0.0,0.0,4.0
